GEOID,NAME,Top 1_Country,Top 2_Country,Top 3_Country,Top 4_Country,Top 5_Country
"2502581005",Winthrop Town,Colombia,El Salvador,Albania,Morocco,Peru
"2502513205",Chelsea,El Salvador,Guatemala,Honduras,Dominican Republic,Brazil
"2502308130",Bridgewater Town,India,United Kingdom,Haiti,Sierra Leone,Portugal
"2502102935",Avon,Haiti,Brazil,Vietnam,Cambodia,Cabo Verde
"2502117405",Dover,China,Canada,India,United Kingdom,Romania
"2502130455",Holbrook,Haiti,Brazil,Vietnam,Cabo Verde,Canada
"2502139975",Medway,India,China,Brazil,United Kingdom,Egypt
"2502154100",Plainville,Honduras,Other Central America,Nigeria,India,El Salvador
"2502178690",Westwood,China,India,Italy,Lebanon,El Salvador
"2502178972",Weymouth Town,India,China,Brazil,Vietnam,Haiti
"2502182315",Wrentham,India,China,Italy,Haiti,United Kingdom
"2502160785",Sharon,India,China,Ukraine,Korea,Other Eastern Europe
"2500901260",Amesbury Town,Canada,Philippines,Morocco,Albania,Tanzania
"2500905595",Beverly,Brazil,Albania,Dominican Republic,India,Morocco
"2500925625",Georgetown,Kenya,Russia,Germany,Philippines,Canada
"2500929405",Haverhill,Dominican Republic,Colombia,Guatemala,El Salvador,Dominica
"2500940430",Merrimac,Germany,Spain,Greece,Canada,Other Eastern Europe
"2500946365",North Andover,India,Brazil,China,Dominican Republic,Bangladesh
"2500957880",Rockport,Brazil,United Kingdom,Portugal,Canada,Colombia
"2500959245",Salisbury,China,Russia,Bolivia,Cuba,Germany
"2500968645",Swampscott,Russia,Armenia,Ukraine,Brazil,Bangladesh
"2500974595",Wenham,Greece,Germany,Korea,Netherlands,Italy
"2500952490",Peabody,Dominican Republic,Brazil,Portugal,Albania,Haiti
"2502156000",Randolph Town,Haiti,Vietnam,Jamaica,Dominican Republic,China
"2501704615",Bedford,India,China,Iraq,Canada,United Kingdom
"2501707350",Boxborough,India,China,Ghana,Uganda,Nigeria
"2501709840",Burlington,India,China,United Kingdom,Lebanon,Uganda
"2501711525",Carlisle,India,China,Canada,United Kingdom,Germany
"2501715060",Concord,United Kingdom,India,Canada,Ireland,China
"2501717475",Dracut,Cambodia,Brazil,Egypt,India,Colombia
"2501717825",Dunstable,Kenya,Argentina,United Kingdom,Ukraine,Brazil
"2501735215",Lexington,China,India,Korea,Russia,Canada
"2501735425",Lincoln,China,South Africa,Guyana,Japan,Ecuador
"2501735950",Littleton,India,China,United Kingdom,Hungary,Israel
"2502107740",Braintree Town,China,Vietnam,India,Ireland,Brazil
"2502116495",Dedham,Russia,Italy,China,Ireland,Brazil
"2502125172",Franklin Town,India,China,Romania,Canada,United Kingdom
"2502146050",Norfolk,India,Canada,United Kingdom,Ireland,Cabo Verde
"2502155745",Quincy,China,Vietnam,India,Albania,Ireland
"2502139765",Medfield,China,United Kingdom,India,South Africa,Costa Rica
"2501762535",Somerville,Brazil,El Salvador,China,India,Portugal
"2501739625",Maynard,Brazil,China,Ireland,Kuwait,Uganda
"2501739835",Medford,China,India,Brazil,Haiti,Italy
"2501740115",Melrose,China,Morocco,Brazil,Russia,Nepal
"2501767665",Stoneham,Brazil,China,India,Italy,Algeria
"2501768050",Stow,Vietnam,Russia,Brazil,China,Portugal
"2501772215",Wakefield,Brazil,India,China,Latvia,Dominican Republic
"2501776135",Westford,India,China,United Kingdom,Egypt,Czechoslovakia 
"2501780510",Winchester,China,India,United Kingdom,Pakistan,Korea
"2501781035",Woburn,Brazil,India,Uganda,Haiti,China
"2501705805",Billerica,India,Brazil,Russia,China,Portugal
"2501727480",Groton,India,Canada,United Kingdom,China,Ukraine
"2501756130",Reading,China,India,Italy,Brazil,Canada
"2501770360",Townsend,Vietnam,Brazil,United Kingdom,Jamaica,Sierra Leone
"2501772600",Waltham,Guatemala,China,India,Haiti,Uganda
"2501777255",Weston,China,India,Brazil,Italy,Korea
"2502124820",Foxborough,India,Vietnam,Haiti,United Kingdom,Ukraine
